# C380-221 CERTIFICATE (official, batch 1)
# initial division N0=4 (h=pi/4); bisection: longest edge, tie-break a,b,c
# depth cap 12; outward inflation 1e-12; strict criterion L > 1/2
# a1 a2 b1 b2 c1 c2 witness_q certified_lower_bound
2.748893571891069 3.1415926535897931 2.3561944901923448 3.1415926535897931 2.3561944901923448 3.1415926535897931 2 1.4142135623636798
2.3561944901923448 2.748893571891069 2.748893571891069 3.1415926535897931 2.3561944901923448 3.1415926535897931 2 1.4142135623636798
2.3561944901923448 2.748893571891069 2.3561944901923448 2.748893571891069 2.3561944901923448 3.1415926535897931 5 0.53073372945166697
2.748893571891069 3.1415926535897931 2.748893571891069 3.1415926535897931 1.5707963267948966 2.3561944901923448 2 1.828427124738361
2.748893571891069 3.1415926535897931 2.3561944901923448 2.748893571891069 1.9634954084936207 2.3561944901923448 2 0.7071067811774252
2.9452431127404308 3.1415926535897931 2.3561944901923448 2.748893571891069 1.5707963267948966 1.9634954084936207 2 0.84775906501480702
2.748893571891069 2.9452431127404308 2.5525440310417071 2.748893571891069 1.5707963267948966 1.9634954084936207 2 1.1795804270950123
2.748893571891069 2.9452431127404308 2.454369260617026 2.5525440310417071 1.7671458676442586 1.9634954084936207 2 0.88051467388530591
2.748893571891069 2.9452431127404308 2.3561944901923448 2.454369260617026 1.8653206380689396 1.9634954084936207 2 0.58274395006157897
2.8470683423157501 2.9452431127404308 2.3561944901923448 2.454369260617026 1.7671458676442586 1.8653206380689396 2 0.73905969208530908
2.7979809571034098 2.8470683423157501 2.3561944901923448 2.454369260617026 1.7671458676442586 1.8653206380689396 2 0.62214137420553539
2.748893571891069 2.7979809571034098 2.3561944901923448 2.454369260617026 1.7671458676442586 1.8653206380689396 5 0.71248978460312884
2.748893571891069 2.9452431127404308 2.454369260617026 2.5525440310417071 1.5707963267948966 1.7671458676442586 2 0.80439420639697534
2.748893571891069 2.9452431127404308 2.3561944901923448 2.454369260617026 1.6689710972195777 1.7671458676442586 11 1.0162671225144888
2.8470683423157501 2.9452431127404308 2.3561944901923448 2.454369260617026 1.5707963267948966 1.6689710972195777 2 0.66293922459697852
2.748893571891069 2.8470683423157501 2.3561944901923448 2.454369260617026 1.5707963267948966 1.6689710972195777 5 0.74678254487868589
2.3561944901923448 2.748893571891069 2.748893571891069 3.1415926535897931 1.9634954084936207 2.3561944901923448 2 0.7071067811774252
2.5525440310417071 2.748893571891069 2.748893571891069 3.1415926535897931 1.5707963267948966 1.9634954084936207 2 1.1795804270950123
2.3561944901923448 2.5525440310417071 2.9452431127404308 3.1415926535897931 1.5707963267948966 1.9634954084936207 2 0.84775906501480702
2.454369260617026 2.5525440310417071 2.748893571891069 2.9452431127404308 1.7671458676442586 1.9634954084936207 2 0.88051467388530591
2.3561944901923448 2.454369260617026 2.748893571891069 2.9452431127404308 1.8653206380689396 1.9634954084936207 2 0.58274395006157897
2.3561944901923448 2.454369260617026 2.8470683423157501 2.9452431127404308 1.7671458676442586 1.8653206380689396 2 0.73905969208530908
2.4052818754046852 2.454369260617026 2.748893571891069 2.8470683423157501 1.7671458676442586 1.8653206380689396 2 0.68636831051214064
2.3561944901923448 2.4052818754046852 2.748893571891069 2.8470683423157501 1.7671458676442586 1.8653206380689396 11 1.1533100841973807
2.454369260617026 2.5525440310417071 2.748893571891069 2.9452431127404308 1.5707963267948966 1.7671458676442586 2 0.80439420639697534
2.3561944901923448 2.454369260617026 2.748893571891069 2.9452431127404308 1.6689710972195777 1.7671458676442586 11 1.0162671225144888
2.3561944901923448 2.454369260617026 2.8470683423157501 2.9452431127404308 1.5707963267948966 1.6689710972195777 2 0.66293922459697852
2.3561944901923448 2.454369260617026 2.748893571891069 2.8470683423157501 1.5707963267948966 1.6689710972195777 5 0.74678254487868589
2.3561944901923448 2.748893571891069 2.3561944901923448 2.748893571891069 1.5707963267948966 2.3561944901923448 5 0.53073372945166697
2.748893571891069 3.1415926535897931 2.748893571891069 3.1415926535897931 0.78539816339744828 1.5707963267948966 2 1.828427124738361
2.9452431127404308 3.1415926535897931 2.3561944901923448 2.748893571891069 1.1780972450961724 1.5707963267948966 2 0.84775906501480702
2.748893571891069 2.9452431127404308 2.5525440310417071 2.748893571891069 1.1780972450961724 1.5707963267948966 2 1.1795804270950123
2.748893571891069 2.9452431127404308 2.454369260617026 2.5525440310417071 1.3744467859455345 1.5707963267948966 2 0.80439420639697534
2.8470683423157501 2.9452431127404308 2.3561944901923448 2.454369260617026 1.4726215563702154 1.5707963267948966 2 0.66293922459697852
2.748893571891069 2.8470683423157501 2.3561944901923448 2.454369260617026 1.4726215563702154 1.5707963267948966 5 1.2181792817045656
2.748893571891069 2.9452431127404308 2.3561944901923448 2.454369260617026 1.3744467859455345 1.4726215563702154 5 0.77446983315092877
2.748893571891069 2.9452431127404308 2.3561944901923448 2.5525440310417071 1.1780972450961724 1.3744467859455345 5 1.1345427086278026
2.748893571891069 3.1415926535897931 2.3561944901923448 2.748893571891069 0.78539816339744828 1.1780972450961724 2 0.70710678117742531
