# D(-3) 图数据 G_200：顶点 1..200；边 = {(a,b): a<b, a*b-3 为整数平方}
# 来源：RUN（预注册域 d<=200）；完整枚举（非抽样）
# |V|=200  |E|=148  #K3=76  #K4=0

## EDGES (a,b,a*b-3,sqrt)
1	3	0	0
1	4	1	1
1	7	4	2
1	12	9	3
1	19	16	4
1	28	25	5
1	39	36	6
1	52	49	7
1	67	64	8
1	84	81	9
1	103	100	10
1	124	121	11
1	147	144	12
1	172	169	13
1	199	196	14
2	6	9	3
2	14	25	5
2	26	49	7
2	42	81	9
2	62	121	11
2	86	169	13
2	114	225	15
2	146	289	17
2	182	361	19
3	4	9	3
3	13	36	6
3	28	81	9
3	49	144	12
3	76	225	15
3	109	324	18
3	148	441	21
3	193	576	24
4	7	25	5
4	13	49	7
4	21	81	9
4	31	121	11
4	43	169	13
4	57	225	15
4	73	289	17
4	91	361	19
4	111	441	21
4	133	529	23
4	157	625	25
4	183	729	27
6	14	81	9
6	38	225	15
6	74	441	21
6	122	729	27
6	182	1089	33
7	12	81	9
7	21	144	12
7	37	256	16
7	52	361	19
7	76	529	23
7	97	676	26
7	129	900	30
7	156	1089	33
7	196	1369	37
12	19	225	15
12	37	441	21
12	61	729	27
12	91	1089	33
12	127	1521	39
12	169	2025	45
13	28	361	19
13	31	400	20
13	79	1024	32
13	84	1089	33
13	156	2025	45
13	163	2116	46
14	26	361	19
14	38	529	23
14	78	1089	33
14	98	1369	37
14	158	2209	47
14	186	2601	51
19	28	529	23
19	61	1156	34
19	93	1764	42
19	148	2809	53
19	196	3721	61
21	43	900	30
21	52	1089	33
21	124	2601	51
21	139	2916	54
26	42	1089	33
26	78	2025	45
26	134	3481	59
26	194	5041	71
28	39	1089	33
28	49	1369	37
28	79	2209	47
28	93	2601	51
28	133	3721	61
28	151	4225	65
31	57	1764	42
31	84	2601	51
31	172	5329	73
37	76	2809	53
37	91	3364	58
38	74	2809	53
38	98	3721	61
39	52	2025	45
39	133	5184	72
39	181	7056	84
42	62	2601	51
42	134	5625	75
43	73	3136	56
43	124	5329	73
49	76	3721	61
49	151	7396	86
52	67	3481	59
52	97	5041	71
52	139	7225	85
52	181	9409	97
57	91	5184	72
57	172	9801	99
61	127	7744	88
61	148	9025	95
62	86	5329	73
67	84	5625	75
73	111	8100	90
74	122	9025	95
76	109	8281	91
76	129	9801	99
78	158	12321	111
78	194	15129	123
79	156	12321	111
84	103	8649	93
84	163	13689	117
86	114	9801	99
91	133	12100	110
91	169	15376	124
93	196	18225	135
97	156	15129	123
98	186	18225	135
103	124	12769	113
109	148	16129	127
111	157	17424	132
114	146	16641	129
122	182	22201	149
124	147	18225	135
129	196	25281	159
133	183	24336	156
146	182	26569	163
147	172	25281	159
148	193	28561	169
172	199	34225	185

## TRIANGLES (a,b,c) with pair-values
1	3	4	|	0	1	9
1	3	28	|	0	25	81
1	4	7	|	1	4	25
1	7	12	|	4	9	81
1	7	52	|	4	49	361
1	12	19	|	9	16	225
1	19	28	|	16	25	529
1	28	39	|	25	36	1089
1	39	52	|	36	49	2025
1	52	67	|	49	64	3481
1	67	84	|	64	81	5625
1	84	103	|	81	100	8649
1	103	124	|	100	121	12769
1	124	147	|	121	144	18225
1	147	172	|	144	169	25281
1	172	199	|	169	196	34225
2	6	14	|	9	25	81
2	6	182	|	9	361	1089
2	14	26	|	25	49	361
2	26	42	|	49	81	1089
2	42	62	|	81	121	2601
2	62	86	|	121	169	5329
2	86	114	|	169	225	9801
2	114	146	|	225	289	16641
2	146	182	|	289	361	26569
3	4	13	|	9	36	49
3	13	28	|	36	81	361
3	28	49	|	81	144	1369
3	49	76	|	144	225	3721
3	76	109	|	225	324	8281
3	109	148	|	324	441	16129
3	148	193	|	441	576	28561
4	7	21	|	25	81	144
4	13	31	|	49	121	400
4	21	43	|	81	169	900
4	31	57	|	121	225	1764
4	43	73	|	169	289	3136
4	57	91	|	225	361	5184
4	73	111	|	289	441	8100
4	91	133	|	361	529	12100
4	111	157	|	441	625	17424
4	133	183	|	529	729	24336
6	14	38	|	81	225	529
6	38	74	|	225	441	2809
6	74	122	|	441	729	9025
6	122	182	|	729	1089	22201
7	12	37	|	81	256	441
7	21	52	|	144	361	1089
7	37	76	|	256	529	2809
7	52	97	|	361	676	5041
7	76	129	|	529	900	9801
7	97	156	|	676	1089	15129
7	129	196	|	900	1369	25281
12	19	61	|	225	729	1156
12	37	91	|	441	1089	3364
12	61	127	|	729	1521	7744
12	91	169	|	1089	2025	15376
13	28	79	|	361	1024	2209
13	31	84	|	400	1089	2601
13	79	156	|	1024	2025	12321
13	84	163	|	1089	2116	13689
14	26	78	|	361	1089	2025
14	38	98	|	529	1369	3721
14	78	158	|	1089	2209	12321
14	98	186	|	1369	2601	18225
19	28	93	|	529	1764	2601
19	61	148	|	1156	2809	9025
19	93	196	|	1764	3721	18225
21	43	124	|	900	2601	5329
21	52	139	|	1089	2916	7225
26	42	134	|	1089	3481	5625
26	78	194	|	2025	5041	15129
28	39	133	|	1089	3721	5184
28	49	151	|	1369	4225	7396
31	57	172	|	1764	5329	9801
39	52	181	|	2025	7056	9409

## QUADRULPES: 0
